os,cpu,gpu,ram,kernel,driver
Manjaro Linux,AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,AMD/ATI,6083348,5.12.2-1-MANJARO,4.6 Mesa 21.0.3
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.3841,16782,42.5837,0,52,52,400,0,0.344997,2.17246,6304264637
61.9047,16803,42.5837,0,52,52,400,0,0.344997,2.17246,6404327962
61.3384,16294,42.5837,0,52,52,400,0,0.344997,2.17246,6504408720
59.9165,20542,42.5837,0,52,52,400,0,0.344997,2.17246,6604469520
60.5393,17063,42.5837,0,52,52,400,0,0.344997,2.17246,6704538696
60.4902,16694,42.5837,0,52,52,400,0,0.344997,2.17246,6804602592
61.3183,16639,48.8263,0,53,53,400,0,0.36084,2.17241,6904662771
60.6569,16202,48.8263,0,53,53,400,0,0.36084,2.17241,7004722719
60.4027,16720,48.8263,0,53,53,400,0,0.36084,2.17241,7104784501
60.2463,16999,48.8263,0,53,53,400,0,0.36084,2.17241,7204843348
60.2408,16694,48.8263,0,53,53,400,0,0.36084,2.17241,7304907124
59.9463,16717,33.0233,0,53,53,400,0,0.358337,2.17277,7404966321
59.9563,16771,33.0233,0,53,53,400,0,0.358337,2.17277,7505040406
59.9495,16827,33.0233,0,53,53,400,0,0.358337,2.17277,7605101096
59.9589,16480,33.0233,0,53,53,400,0,0.358337,2.17277,7705161596
59.9853,16678,33.0233,0,53,53,400,0,0.358337,2.17277,7805220803
59.9018,16584,27.3196,0,53,53,400,0,0.34906,2.17277,7905280622
59.3843,18606,27.3196,0,53,53,400,0,0.34906,2.17277,8005342854
59.7865,15213,27.3196,0,53,53,400,0,0.34906,2.17277,8105402552
59.783,16352,27.3196,0,53,53,400,0,0.34906,2.17277,8205464074
59.8347,16813,27.3196,0,53,53,400,0,0.34906,2.17277,8305531487
60.7881,16389,39.5833,0,53,53,400,0,0.378658,2.17293,8405594030
59.7297,18496,39.5833,0,53,53,400,0,0.378658,2.17293,8505654029
60.2501,16616,39.5833,0,53,53,400,0,0.378658,2.17293,8605714819
60.1878,16520,39.5833,0,53,53,400,0,0.378658,2.17293,8705776341
60.1449,16475,39.5833,0,53,53,400,0,0.378658,2.17293,8805836710
59.9664,16634,37.3134,0,53,53,400,0,0.409687,2.17289,8905897560
59.965,16754,37.3134,0,53,53,400,0,0.409687,2.17289,9005967187
59.9433,16588,37.3134,0,53,53,400,0,0.409687,2.17289,9106007889
59.9842,16332,37.3134,0,53,53,400,0,0.409687,2.17289,9206068499
59.98,16586,37.3134,0,53,53,400,0,0.409687,2.17289,9306128488
60.0042,16629,29.703,0,53,53,400,0,0.409687,2.17289,9406189659
59.9053,16834,29.703,0,53,53,400,0,0.409687,2.17289,9506248375
59.9397,16541,29.703,0,53,53,400,0,0.409687,2.17289,9606310367
59.9718,16589,29.703,0,53,53,400,0,0.409687,2.17289,9706368433
59.9492,15912,29.703,0,53,53,400,0,0.409687,2.17289,9806428982
59.8587,16317,35.0254,0,53,53,400,0,0.422199,2.18922,9906492698
59.8953,16747,35.0254,0,53,53,400,0,0.422199,2.18922,10006559439
59.908,17008,35.0254,0,53,53,400,0,0.422199,2.18922,10106619368
59.9493,16939,35.0254,0,53,53,400,0,0.422199,2.18922,10206687041
59.9519,16738,35.0254,0,53,53,400,0,0.422199,2.18922,10306748222
59.7693,17144,37.9487,0,53,53,400,0,0.422199,2.18949,10406807038
60.0868,16693,37.9487,0,53,53,400,0,0.422199,2.18949,10506867518
59.9925,16948,37.9487,0,53,53,400,0,0.422199,2.18949,10606925473
60.024,16142,37.9487,0,53,53,400,0,0.422199,2.18949,10706985171
60.0136,16731,37.9487,0,53,53,400,0,0.422199,2.18949,10807044378
59.6801,16969,31.0345,0,53,53,400,0,0.422199,2.18949,10907103124
60.0252,16692,31.0345,0,53,53,400,0,0.422199,2.18949,11007162001
59.9463,16523,31.0345,0,53,53,400,0,0.422199,2.18949,11107223503
59.9961,16648,31.0345,0,53,53,400,0,0.422199,2.18949,11207274194
59.9893,16394,31.0345,0,53,53,400,0,0.422199,2.18949,11307334032
59.9353,16463,29.6875,0,53,53,400,0,0.375309,2.18946,11407393861
59.9908,16706,29.6875,0,53,53,400,0,0.375309,2.18946,11507453599
59.9945,16551,29.6875,0,53,53,400,0,0.375309,2.18946,11607515521
59.9909,16539,29.6875,0,53,53,400,0,0.375309,2.18946,11707577043
59.9587,16814,29.6875,0,53,53,400,0,0.375309,2.18946,11807636551
59.9652,16680,28.7179,0,53,53,400,0,0.370304,2.17603,11907697771
59.8667,16758,28.7179,0,53,53,400,0,0.370304,2.17603,12007757339
59.9381,16833,28.7179,0,53,53,400,0,0.370304,2.17603,12107821235
60.001,16456,28.7179,0,53,53,400,0,0.370304,2.17603,12207880813
59.9901,16677,28.7179,0,53,53,400,0,0.370304,2.17603,12307939520
59.8755,16743,29.2308,0,53,53,400,0,0.370304,2.17601,12407997164
59.9996,16629,29.2308,0,53,53,400,0,0.370304,2.17601,12508057032
59.9396,16891,29.2308,0,53,53,400,0,0.370304,2.17601,12608115759
59.9866,16677,29.2308,0,53,53,400,0,0.370304,2.17601,12708174304
59.9777,16629,29.2308,0,53,53,400,0,0.370304,2.17601,12808233572
60.1118,16722,27.551,0,53,53,400,0,0.370304,2.17313,12908310773
60.0308,16463,27.551,0,53,53,400,0,0.370304,2.17313,13008369649
59.9739,16801,27.551,0,53,53,400,0,0.370304,2.17313,13108428085
60.0038,16289,27.551,0,53,53,400,0,0.370304,2.17313,13208488735
59.9987,16658,27.551,0,53,53,400,0,0.370304,2.17313,13308548984
59.9772,16577,27.6923,0,53,53,400,0,0.370304,2.173,13408608051
59.948,16705,27.6923,0,53,53,400,0,0.370304,2.173,13508670264
59.9707,16371,27.6923,0,53,53,400,0,0.370304,2.173,13608735242
59.9719,16463,27.6923,0,53,53,400,0,0.370304,2.173,13708794529
59.9724,16709,27.6923,0,53,53,400,0,0.370304,2.173,13808853165
59.8755,16784,28.0612,0,53,53,400,0,0.370304,2.173,13908911952
59.9784,16653,28.0612,0,53,53,400,0,0.370304,2.173,14008977090
59.9082,16896,28.0612,0,53,53,400,0,0.370304,2.173,14109037680
59.9928,16653,28.0612,0,53,53,400,0,0.370304,2.173,14209059998
59.9837,16568,28.0612,0,53,53,400,0,0.370304,2.173,14309117763
59.7693,16520,30.198,0,53,53,400,0,0.370304,2.17301,14409177170
59.9792,16663,30.198,0,53,53,400,0,0.370304,2.17301,14509236167
59.9645,16702,30.198,0,53,53,400,0,0.370304,2.17301,14609294062
59.9791,16654,30.198,0,53,53,400,0,0.370304,2.17301,14709353219
59.9602,16754,30.198,0,53,53,400,0,0.370304,2.17301,14809416163
59.9425,16644,31.8841,0,53,53,400,0,0.370304,2.17313,14909475240
59.9548,16329,31.8841,0,53,53,400,0,0.370304,2.17313,15009534167
59.9499,16729,31.8841,0,53,53,400,0,0.370304,2.17313,15109597181
59.9734,16657,31.8841,0,53,53,400,0,0.370304,2.17313,15209656048
59.9365,16913,31.8841,0,53,53,400,0,0.370304,2.17313,15309714333
60.0072,16699,32.8571,0,53,53,400,0,0.361027,2.17301,15409772258
59.9616,16760,32.8571,0,53,53,400,0,0.361027,2.17301,15509832387
59.9484,16658,32.8571,0,53,53,400,0,0.361027,2.17301,15609890382
59.9736,16755,32.8571,0,53,53,400,0,0.361027,2.17301,15709948938
59.9591,16871,32.8571,0,53,53,400,0,0.361027,2.17301,15810008426
59.9664,16744,34.8624,0,53,53,400,0,0.361027,2.17276,15910072332
59.996,16670,34.8624,0,53,53,400,0,0.361027,2.17276,16010132070
59.9573,16702,34.8624,0,53,53,400,0,0.361027,2.17276,16110190416
59.9661,16433,34.8624,0,53,53,400,0,0.361027,2.17276,16210249392
59.9861,16537,34.8624,0,53,53,400,0,0.361027,2.17276,16310307688
59.9988,16547,30.5419,0,53,53,400,0,0.361027,2.17276,16410366454
59.9784,16582,30.5419,0,53,53,400,0,0.361027,2.17276,16510425070
59.9396,16728,30.5419,0,53,53,400,0,0.361027,2.17276,16610487113
59.9671,16729,30.5419,0,53,53,400,0,0.361027,2.17276,16710546130
59.974,16748,30.5419,0,53,53,400,0,0.361027,2.17276,16810604525
60.1359,16724,27.4611,0,53,53,400,0,0.361027,2.17289,16910670686
60.0128,16454,27.4611,0,53,53,400,0,0.361027,2.17289,17010735624
59.9988,16568,27.4611,0,53,53,400,0,0.361027,2.17289,17110793638
60.0123,16650,27.4611,0,53,53,400,0,0.361027,2.17289,17210851463
59.9893,16415,27.4611,0,53,53,400,0,0.361027,2.17289,17310911502
60.0324,16847,27.551,0,54,54,400,0,0.361027,2.17289,17410978905
60.0348,16933,27.551,0,54,54,400,0,0.361027,2.17289,17511037270
60.0615,16598,27.551,0,54,54,400,0,0.361027,2.17289,17611096097
60.0415,16716,27.551,0,54,54,400,0,0.361027,2.17289,17711154853
60.0223,16724,27.551,0,54,54,400,0,0.361027,2.17289,17811212738
59.6588,16796,28.9216,0,73,73,400,0,0.361019,2.17289,17911271254
59.9565,16457,28.9216,0,73,73,400,0,0.361019,2.17289,18011330281
59.9431,16477,28.9216,0,73,73,400,0,0.361019,2.17289,18111389227
59.9763,16428,28.9216,0,73,73,400,0,0.361019,2.17289,18211447262
59.9807,16637,28.9216,0,73,73,400,0,0.361019,2.17289,18311514304
59.97,16677,27.9188,0,73,73,400,0,0.361019,2.17289,18411573101
59.9961,16412,27.9188,0,73,73,400,0,0.361019,2.17289,18511630805
59.9911,16684,27.9188,0,73,73,400,0,0.361019,2.17289,18611688469
59.9786,16570,27.9188,0,73,73,400,0,0.361019,2.17289,18711746534
59.9749,16581,27.9188,0,73,73,400,0,0.361019,2.17289,18811803598
59.2751,16710,27.551,0,73,73,400,0,0.361019,2.17276,18911868125
59.9049,16792,27.551,0,73,73,400,0,0.361019,2.17276,19011927573
59.8913,16774,27.551,0,73,73,400,0,0.361019,2.17276,19111991128
59.9698,16687,27.551,0,73,73,400,0,0.361019,2.17276,19212049734
59.9664,16745,27.551,0,73,73,400,0,0.361019,2.17276,19312109222
59.9952,16684,27.1795,0,73,73,400,0,0.361019,2.17288,19412168689
59.9736,16677,27.1795,0,73,73,400,0,0.361019,2.17288,19512228017
59.9484,16726,27.1795,0,73,73,400,0,0.361019,2.17288,19612287795
59.9817,16644,27.1795,0,73,73,400,0,0.361019,2.17288,19712350138
59.9461,16749,27.1795,0,73,73,400,0,0.361019,2.17288,19812391933
59.9538,16674,26.8041,0,74,74,400,0,0.361019,2.17276,19912453254
60.0781,16673,26.8041,0,74,74,400,0,0.361019,2.17276,20012516108
60.0235,16534,26.8041,0,74,74,400,0,0.361019,2.17276,20112577129
60.0179,16564,26.8041,0,74,74,400,0,0.361019,2.17276,20212640433
