Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,GPU0Clk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63]
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.293538,6.010,5.685,0.499,1.301,1.409,0.217,1695,36,59,NA,NA,NA,NA,NA,2.625,8.661,2.625,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.299878,6.340,6.316,0.420,1.274,1.386,0.201,1695,36,59,NA,NA,NA,NA,NA,2.489,8.211,2.489,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.305902,6.024,5.931,0.409,1.185,1.292,0.197,1695,36,59,NA,NA,NA,NA,NA,2.619,8.641,2.619,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.310985,5.083,5.189,0.427,1.323,1.398,0.260,1695,36,59,NA,NA,NA,NA,NA,3.104,10.241,3.104,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.317365,6.380,5.965,0.708,0.888,0.983,0.139,1695,36,59,NA,NA,NA,NA,NA,2.473,8.158,2.473,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.323014,5.649,6.327,0.449,1.537,1.662,0.272,1695,36,59,NA,NA,NA,NA,NA,2.793,9.215,2.793,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.329286,6.272,6.611,0.466,1.894,2.000,0.302,1695,36,59,NA,NA,NA,NA,NA,2.516,8.299,2.516,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.335282,5.997,5.560,0.516,1.467,1.563,0.245,1695,36,59,NA,NA,NA,NA,NA,2.631,8.681,2.631,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.341318,6.036,5.903,0.444,1.329,1.430,0.220,1695,36,59,NA,NA,NA,NA,NA,2.614,8.624,2.614,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.347768,6.450,6.318,0.418,1.167,1.298,0.181,1695,36,59,NA,NA,NA,NA,NA,2.446,8.071,2.446,19,63,63,NA,4031,51, 52,109.171,NA,81,75,69,78,63,26,60,33,54,20,60,20,57,36,45,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
